Project_ID,MP_ID,State,Constituency,Project_Category,Project_Description,Sanctioned_Amount,Sanction_Date,Expected_Completion_Date,Actual_Completion_Date,Contractor_ID,Project_Status
P00042075,MP0078,Karnataka,BENGALURU-2,Electricity,Street lighting installation,2980000,2025-05-05,2026-01-27,,V044922,Ongoing
P00042076,MP0044,Karnataka,BELAGAVI-4,Agriculture,Irrigation development,3030000,2025-05-05,2026-01-14,2026-01-04,V043016,Completed
P00042077,MP0047,West Bengal,SILIGURI-2,Water Supply,Drinking water facility,6680000,2025-05-20,2025-10-15,2025-09-28,V041725,Completed
P00042078,MP0040,Rajasthan,JODHPUR-5,Healthcare,Medical equipment purchase,6370000,2025-08-28,2026-02-19,2026-01-28,V045146,Completed
P00042079,MP0031,Gujarat,SURAT-4,Water Supply,Drinking water facility,7390000,2025-06-22,2025-10-06,2025-10-01,V044973,Completed
P00042080,MP0069,Uttar Pradesh,LUCKNOW-4,Community Development,Community hall construction,1970000,2025-04-02,2025-08-05,2025-07-08,V009778,Completed
P00042081,MP0081,Rajasthan,KOTA-2,Water Supply,Pipeline installation,6710000,2025-05-29,2025-12-23,2026-04-30,V008258,Completed
P00042082,MP0074,Maharashtra,LATUR-4,Road,Road repair and improvement,8150000,2025-05-25,2025-10-22,2025-10-18,V021281,Completed
P00042083,MP0043,Bihar,PATNA-2,Education,School classroom construction,1450000,2025-07-08,2025-12-30,2025-12-03,V049329,Completed
P00042084,MP0055,Tamil Nadu,MADURAI-3,Education,School infrastructure improvement,8450000,2025-05-03,2025-11-08,,V027025,Ongoing
P00042085,MP0016,Karnataka,KALABURAGI-2,Public Infrastructure,Public facility improvement,9720000,2025-05-19,2025-09-10,2025-09-09,V020777,Completed
P00042086,MP0068,Bihar,BHAGALPUR-1,Road,Rural connectivity road,3490000,2025-06-07,2026-02-23,,V015591,Ongoing
P00042087,MP0069,Uttar Pradesh,LUCKNOW-4,Education,School laboratory development,2070000,2025-04-09,2025-11-05,2025-10-27,V009676,Completed
P00042088,MP0042,Maharashtra,SOLAPUR-3,Water Supply,Drinking water facility,620000,2025-07-22,2025-12-18,2025-11-28,V008252,Completed
P00042089,MP0041,Maharashtra,LATUR-3,Healthcare,Primary health centre development,8560000,2025-06-01,2025-10-24,,V028693,Ongoing
P00042090,MP0050,Karnataka,HUBBALLI-2,Community Development,Village development work,8030000,2025-07-26,2026-03-16,2026-02-15,V021932,Completed
P00042091,MP0084,Karnataka,BELAGAVI-4,Sanitation,Community toilet construction,7970000,2025-02-21,2025-09-13,,V042843,Ongoing
P00042092,MP0006,Tamil Nadu,MADURAI-5,Community Development,Village development work,2950000,2025-05-17,2026-02-07,2026-01-09,V040087,Completed
P00042093,MP0075,Tamil Nadu,MADURAI-1,Public Infrastructure,Infrastructure development,2900000,2025-07-02,2025-10-20,2025-10-01,V032335,Completed
P00042094,MP0053,Karnataka,BALLARI-1,Sports,Sports ground development,5660000,2025-03-05,2025-06-30,2025-06-29,V047079,Completed
P00042095,MP0017,Uttar Pradesh,AGRA-4,Sanitation,Sanitation infrastructure,6780000,2025-04-06,2025-07-25,2025-07-18,V029181,Completed
P00042096,MP0057,West Bengal,SILIGURI-2,Road,Internal road development,8750000,2025-05-26,2025-09-28,,V041558,Ongoing
P00042097,MP0067,Gujarat,RAJKOT-4,Healthcare,Primary health centre development,4330000,2025-03-13,2025-08-15,2025-08-02,V008717,Completed
P00042098,MP0016,Karnataka,KALABURAGI-2,Healthcare,Health centre infrastructure,3860000,2025-01-07,2025-04-21,2025-06-07,V000686,Completed
P00042099,MP0052,Bihar,MUZAFFARPUR-2,Public Infrastructure,Public facility improvement,7220000,2025-01-16,2025-09-16,,V043317,Ongoing
P00042100,MP0100,Maharashtra,NASHIK-5,Agriculture,Farmer support infrastructure,4600000,2025-04-20,2025-08-04,,V022201,Ongoing
P00042101,MP0090,Tamil Nadu,COIMBATORE-1,Electricity,Solar lighting installation,8630000,2025-08-14,2025-11-14,2025-11-12,V018103,Completed
P00042102,MP0088,Madhya Pradesh,INDORE-4,Sanitation,Drainage improvement,8920000,2025-07-07,2026-03-06,2026-02-09,V005131,Completed
P00042103,MP0034,Karnataka,BALLARI-5,Community Development,Community hall construction,6050000,2025-05-16,2025-09-26,2025-09-20,V042577,Completed
P00042104,MP0084,Karnataka,BELAGAVI-4,Public Infrastructure,Infrastructure development,9310000,2025-01-18,2025-08-12,,V022526,Ongoing
P00042105,MP0081,Rajasthan,KOTA-2,Water Supply,Water supply improvement,3720000,2025-03-13,2025-08-05,2025-07-09,V001634,Completed
P00042106,MP0020,Gujarat,BHAVNAGAR-2,Electricity,Street lighting installation,8050000,2025-01-25,2025-07-24,2025-06-29,V000655,Completed
P00042107,MP0080,Uttar Pradesh,PRAYAGRAJ-5,Sports,Community sports facility,4150000,2025-04-22,2025-10-06,2025-09-10,V027917,Completed
P00042108,MP0056,Telangana,WARANGAL-5,Public Infrastructure,Infrastructure development,5470000,2025-05-25,2026-01-15,2026-01-12,V043685,Completed
P00042109,MP0051,Rajasthan,JAIPUR-5,Water Supply,Pipeline installation,3370000,2025-05-28,2025-10-19,,V006511,Ongoing
P00042110,MP0053,Karnataka,BALLARI-1,Water Supply,Construction of water tank,3390000,2025-04-07,2025-08-13,2025-07-31,V047349,Completed
P00042111,MP0049,Rajasthan,AJMER-5,Education,School infrastructure improvement,5020000,2025-04-14,2025-10-31,,V009147,Ongoing
P00042112,MP0004,Maharashtra,PUNE-1,Public Infrastructure,Infrastructure development,1470000,2025-02-05,2025-07-19,2025-07-06,V009264,Completed
P00042113,MP0018,Rajasthan,JODHPUR-3,Sports,Playground construction,6830000,2025-02-03,2025-07-17,,V047546,Ongoing
P00042114,MP0036,Gujarat,RAJKOT-1,Agriculture,Farmer support infrastructure,3330000,2025-04-23,2025-11-25,2025-11-17,V038922,Completed
P00042115,MP0035,Rajasthan,JAIPUR-3,Education,School classroom construction,1980000,2025-01-03,2025-06-10,2025-05-17,V010128,Completed
P00042116,MP0030,Telangana,HYDERABAD-1,Education,School classroom construction,870000,2025-06-11,2025-10-18,2025-10-04,V004200,Completed
P00042117,MP0063,Gujarat,RAJKOT-2,Public Infrastructure,Public building construction,6360000,2025-01-15,2025-05-10,2025-04-30,V002642,Completed
P00042118,MP0082,Rajasthan,JODHPUR-3,Water Supply,Drinking water facility,4860000,2025-03-12,2025-06-11,2025-05-29,V029284,Completed
P00042119,MP0021,Telangana,KARIMNAGAR-3,Electricity,Street lighting installation,5020000,2025-03-06,2025-09-17,2025-08-18,V029622,Completed
P00042120,MP0052,Bihar,MUZAFFARPUR-2,Electricity,Solar lighting installation,7340000,2025-04-14,2025-08-10,2025-07-20,V011000,Completed
P00042121,MP0096,Maharashtra,PUNE-3,Sanitation,Drainage improvement,4760000,2025-03-12,2025-10-05,2025-10-03,V045814,Completed
P00042122,MP0069,Uttar Pradesh,LUCKNOW-4,Community Development,Community hall construction,8530000,2025-02-26,2025-09-03,,V007870,Ongoing
P00042123,MP0041,Maharashtra,LATUR-3,Community Development,Village development work,6710000,2025-07-09,2025-12-12,2025-11-16,V024436,Completed
P00042124,MP0054,Karnataka,BELAGAVI-3,Education,Library construction,7360000,2025-04-08,2025-07-18,,V038850,Ongoing
P00042125,MP0087,Rajasthan,JAIPUR-2,Education,School infrastructure improvement,4630000,2025-02-20,2025-07-24,2025-12-12,V027609,Delayed
P00042126,MP0030,Telangana,HYDERABAD-1,Healthcare,Medical equipment purchase,7660000,2025-04-17,2025-08-22,2025-08-15,V029273,Completed
P00042127,MP0091,Madhya Pradesh,BHOPAL-1,Community Development,Community hall construction,9300000,2025-01-20,2025-08-08,2025-07-17,V016988,Completed
P00042128,MP0056,Telangana,WARANGAL-5,Education,Library construction,620000,2025-07-10,2026-01-14,2026-01-06,V034423,Completed
P00042129,MP0079,West Bengal,KOLKATA-5,Community Development,Village development work,7360000,2025-01-18,2025-10-04,2025-09-26,V021807,Completed
P00042130,MP0041,Maharashtra,LATUR-3,Electricity,Solar lighting installation,8670000,2025-04-16,2025-12-16,2025-11-30,V005907,Completed
P00042131,MP0014,West Bengal,DURGAPUR-5,Community Development,Public facility development,4500000,2025-05-16,2025-09-20,,V033937,Ongoing
P00042132,MP0021,Telangana,KARIMNAGAR-3,Road,Rural connectivity road,8930000,2025-03-22,2025-07-13,2025-06-23,V034902,Completed
P00042133,MP0098,Uttar Pradesh,PRAYAGRAJ-1,Road,Village road construction,8090000,2025-05-02,2026-01-17,2026-01-15,V015092,Completed
P00042134,MP0090,Tamil Nadu,COIMBATORE-1,Sanitation,Waste management facility,9550000,2025-04-05,2025-07-07,2025-06-16,V028058,Completed
P00042135,MP0025,Rajasthan,JODHPUR-4,Community Development,Public facility development,550000,2025-08-13,2026-03-03,2026-02-06,V042831,Completed
P00042136,MP0050,Karnataka,HUBBALLI-2,Public Infrastructure,Infrastructure development,7630000,2025-07-21,2026-02-27,,V013245,Ongoing
P00042137,MP0095,Maharashtra,SOLAPUR-4,Community Development,Community hall construction,8050000,2025-05-26,2025-10-16,,V000413,Ongoing
P00042138,MP0053,Karnataka,BALLARI-1,Community Development,Village development work,4880000,2025-07-12,2026-01-25,2026-01-08,V041799,Completed
P00042139,MP0048,Bihar,AURANGABAD-4,Sports,Playground construction,3460000,2025-06-16,2025-10-30,2025-10-12,V021707,Completed
P00042140,MP0070,Telangana,NIZAMABAD-4,Road,Internal road development,4870000,2025-06-08,2026-03-04,2026-03-01,V032632,Completed
P00042141,MP0048,Bihar,AURANGABAD-4,Water Supply,Drinking water facility,5190000,2025-05-03,2025-09-15,,V024062,Ongoing
P00042142,MP0004,Maharashtra,PUNE-1,Road,Rural connectivity road,9380000,2025-05-05,2025-11-22,2025-11-14,V003636,Completed
P00042143,MP0024,Madhya Pradesh,BHOPAL-2,Electricity,Street lighting installation,1830000,2025-06-26,2026-03-23,2026-07-01,V047739,Completed
P00042144,MP0031,Gujarat,SURAT-4,Sports,Playground construction,890000,2025-07-16,2025-11-06,2025-10-08,V001853,Completed
P00042145,MP0083,Gujarat,VADODARA-4,Agriculture,Agricultural storage facility,6280000,2025-02-28,2025-05-31,2025-05-19,V028775,Completed
P00042146,MP0075,Tamil Nadu,MADURAI-1,Agriculture,Farmer support infrastructure,9430000,2025-08-06,2026-02-15,2026-02-03,V023464,Completed
P00042147,MP0029,Rajasthan,JODHPUR-2,Community Development,Village development work,7100000,2025-03-08,2025-07-16,,V029593,Ongoing
P00042148,MP0005,Bihar,MUZAFFARPUR-5,Water Supply,Construction of water tank,9250000,2025-07-30,2025-12-30,2025-12-20,V029518,Completed
P00042149,MP0082,Rajasthan,JODHPUR-3,Electricity,Solar lighting installation,4680000,2025-01-16,2025-05-18,2025-04-27,V022538,Completed
P00042150,MP0067,Gujarat,RAJKOT-4,Education,School classroom construction,4050000,2025-08-31,2026-02-24,2026-01-30,V029175,Completed
P00042151,MP0075,Tamil Nadu,MADURAI-1,Electricity,Electricity infrastructure,4150000,2025-07-04,2025-10-04,2025-09-05,V048895,Completed
P00042152,MP0085,West Bengal,KOLKATA-1,Education,School laboratory development,7260000,2025-01-03,2025-08-09,,V005428,Ongoing
P00042153,MP0094,Madhya Pradesh,UJJAIN-4,Sanitation,Waste management facility,9580000,2025-08-16,2025-11-20,2025-11-14,V048925,Completed
P00042154,MP0083,Gujarat,VADODARA-4,Agriculture,Agricultural storage facility,7660000,2025-04-01,2025-11-21,2025-11-11,V024250,Completed
P00042155,MP0053,Karnataka,BALLARI-1,Sanitation,Waste management facility,1270000,2025-03-27,2025-10-26,2025-10-05,V008627,Completed
P00042156,MP0089,Madhya Pradesh,UJJAIN-5,Healthcare,Medical equipment purchase,7380000,2025-08-21,2025-12-19,2026-03-28,V011334,Completed
P00042157,MP0064,Telangana,WARANGAL-1,Agriculture,Agricultural storage facility,7220000,2025-02-16,2025-06-05,,V038630,Ongoing
P00042158,MP0035,Rajasthan,JAIPUR-3,Electricity,Electricity infrastructure,4860000,2025-06-18,2025-10-18,,V038536,Ongoing
P00042159,MP0012,Maharashtra,SATARA-5,Agriculture,Irrigation development,5950000,2025-07-08,2025-12-13,2025-11-17,V021526,Completed
P00042160,MP0047,West Bengal,SILIGURI-2,Community Development,Community hall construction,6630000,2025-02-22,2025-06-12,2025-06-11,V025516,Completed
P00042161,MP0090,Tamil Nadu,COIMBATORE-1,Water Supply,Drinking water facility,4290000,2025-01-02,2025-04-10,2025-03-19,V021882,Completed
P00042162,MP0055,Tamil Nadu,MADURAI-3,Public Infrastructure,Public facility improvement,1820000,2025-05-31,2025-09-21,,V025457,Ongoing
P00042163,MP0069,Uttar Pradesh,LUCKNOW-4,Public Infrastructure,Infrastructure development,9960000,2025-08-25,2026-01-20,,V016933,Ongoing
P00042164,MP0083,Gujarat,VADODARA-4,Sanitation,Drainage improvement,500000,2025-01-25,2025-04-27,2025-04-14,V012991,Completed
P00042165,MP0091,Madhya Pradesh,BHOPAL-1,Community Development,Public facility development,3130000,2025-08-02,2026-04-20,2026-03-30,V040044,Completed
P00042166,MP0038,Karnataka,KALABURAGI-3,Public Infrastructure,Public facility improvement,5960000,2025-03-23,2025-07-11,2025-06-18,V047063,Completed
P00042167,MP0029,Rajasthan,JODHPUR-2,Agriculture,Farmer support infrastructure,8510000,2025-06-20,2025-10-17,2025-09-20,V039085,Completed
P00042168,MP0012,Maharashtra,SATARA-5,Education,School laboratory development,1100000,2025-08-20,2026-03-31,2026-03-04,V023401,Completed
P00042169,MP0019,Bihar,AURANGABAD-1,Sanitation,Sanitation infrastructure,6190000,2025-01-10,2025-08-04,2025-07-23,V035581,Completed
P00042170,MP0009,Madhya Pradesh,INDORE-2,Electricity,Solar lighting installation,840000,2025-04-09,2025-11-04,2025-10-30,V035306,Completed
P00042171,MP0082,Rajasthan,JODHPUR-3,Water Supply,Water supply improvement,2650000,2025-04-08,2025-07-31,2025-07-13,V036332,Completed
P00042172,MP0029,Rajasthan,JODHPUR-2,Healthcare,Primary health centre development,7250000,2025-06-13,2025-12-24,2025-12-06,V041510,Completed
P00042173,MP0003,Tamil Nadu,CHENNAI-5,Healthcare,Primary health centre development,8360000,2025-04-16,2025-11-22,2025-11-01,V032194,Completed
P00042174,MP0087,Rajasthan,JAIPUR-2,Road,Village road construction,5480000,2025-04-09,2025-07-25,,V009044,Ongoing
P00042175,MP0030,Telangana,HYDERABAD-1,Healthcare,Health centre infrastructure,1730000,2025-07-03,2026-01-05,,V039036,Ongoing
P00042176,MP0058,Uttar Pradesh,KANPUR-1,Public Infrastructure,Public building construction,9450000,2025-07-28,2026-02-13,2026-06-12,V022994,Delayed
P00042177,MP0088,Madhya Pradesh,INDORE-4,Public Infrastructure,Public facility improvement,8020000,2025-03-22,2025-07-24,,V010062,Ongoing
P00042178,MP0053,Karnataka,BALLARI-1,Education,School laboratory development,3190000,2025-04-08,2025-07-22,2025-07-09,V034780,Completed
P00042179,MP0004,Maharashtra,PUNE-1,Public Infrastructure,Public building construction,7310000,2025-03-10,2025-10-13,,V002526,Ongoing
P00042180,MP0057,West Bengal,SILIGURI-2,Sanitation,Drainage improvement,6810000,2025-08-11,2025-11-16,2025-10-18,V031980,Completed
P00042181,MP0054,Karnataka,BELAGAVI-3,Healthcare,Primary health centre development,4740000,2025-08-26,2026-04-01,,V048144,Ongoing
P00042182,MP0028,West Bengal,SILIGURI-5,Healthcare,Health centre infrastructure,5490000,2025-04-27,2025-08-02,2025-07-24,V000306,Completed
P00042183,MP0016,Karnataka,KALABURAGI-2,Sanitation,Drainage improvement,9230000,2025-04-11,2025-07-31,,V015864,Ongoing
P00042184,MP0013,Uttar Pradesh,LUCKNOW-5,Electricity,Electricity infrastructure,9900000,2025-08-16,2026-03-26,2026-03-16,V009636,Completed
P00042185,MP0072,Madhya Pradesh,INDORE-1,Road,Internal road development,3540000,2025-05-24,2025-10-30,2025-10-19,V029010,Completed
P00042186,MP0056,Telangana,WARANGAL-5,Education,School classroom construction,1440000,2025-02-23,2025-06-04,2025-05-21,V012487,Completed
P00042187,MP0053,Karnataka,BALLARI-1,Electricity,Street lighting installation,3570000,2025-04-03,2025-08-25,2025-08-14,V021771,Completed
P00042188,MP0048,Bihar,AURANGABAD-4,Road,Road repair and improvement,6690000,2025-07-20,2025-12-24,2025-12-19,V013998,Completed
P00042189,MP0025,Rajasthan,JODHPUR-4,Electricity,Electricity infrastructure,3280000,2025-02-18,2025-06-05,2025-06-01,V015092,Completed
P00042190,MP0066,Tamil Nadu,CHENNAI-1,Community Development,Public facility development,9410000,2025-05-18,2025-08-17,2025-07-29,V003196,Completed
P00042191,MP0030,Telangana,HYDERABAD-1,Road,Internal road development,2000000,2025-03-12,2025-07-01,,V004349,Ongoing
P00042192,MP0003,Tamil Nadu,CHENNAI-5,Education,Library construction,2480000,2025-08-22,2026-01-10,2025-12-22,V046271,Completed
P00042193,MP0023,Bihar,PATNA-3,Agriculture,Irrigation development,5020000,2025-06-07,2025-11-20,2025-10-28,V015321,Completed
P00042194,MP0029,Rajasthan,JODHPUR-2,Road,Road repair and improvement,3800000,2025-07-19,2026-03-08,2026-02-08,V003617,Completed
P00042195,MP0041,Maharashtra,LATUR-3,Road,Internal road development,3100000,2025-05-17,2025-12-01,2025-11-13,V043642,Completed
P00042196,MP0094,Madhya Pradesh,UJJAIN-4,Water Supply,Pipeline installation,520000,2025-06-03,2025-11-11,2025-11-08,V003251,Completed
P00042197,MP0011,Rajasthan,KOTA-5,Public Infrastructure,Infrastructure development,6920000,2025-01-22,2025-09-20,2025-08-29,V048361,Completed
P00042198,MP0021,Telangana,KARIMNAGAR-3,Public Infrastructure,Public facility improvement,6720000,2025-05-04,2025-08-08,2025-08-01,V021076,Completed
P00042199,MP0091,Madhya Pradesh,BHOPAL-1,Sports,Playground construction,6630000,2025-04-23,2025-11-07,2026-02-18,V005989,Completed
P00042200,MP0024,Madhya Pradesh,BHOPAL-2,Road,Internal road development,5630000,2025-07-06,2025-10-23,2025-10-01,V019418,Completed
P00042201,MP0095,Maharashtra,SOLAPUR-4,Sanitation,Waste management facility,870000,2025-01-10,2025-08-17,2025-08-09,V007741,Completed
P00042202,MP0094,Madhya Pradesh,UJJAIN-4,Community Development,Public facility development,850000,2025-06-12,2025-12-05,2025-11-25,V006187,Completed
P00042203,MP0065,Tamil Nadu,CHENNAI-1,Electricity,Solar lighting installation,8320000,2025-02-06,2025-08-28,2025-08-24,V042754,Completed
P00042204,MP0001,Karnataka,BELAGAVI-3,Healthcare,Community health facility,6910000,2025-03-03,2025-09-27,,V019528,Ongoing
P00042205,MP0054,Karnataka,BELAGAVI-3,Community Development,Community hall construction,4900000,2025-07-10,2025-12-26,,V047577,Ongoing
P00042206,MP0072,Madhya Pradesh,INDORE-1,Sanitation,Waste management facility,7860000,2025-07-29,2025-11-16,2025-11-13,V049711,Completed
P00042207,MP0034,Karnataka,BALLARI-5,Agriculture,Agricultural storage facility,4630000,2025-05-25,2026-02-08,2026-01-15,V018776,Completed
P00042208,MP0080,Uttar Pradesh,PRAYAGRAJ-5,Road,Village road construction,6290000,2025-05-25,2025-09-15,2025-08-18,V020732,Completed
P00042209,MP0091,Madhya Pradesh,BHOPAL-1,Sanitation,Sanitation infrastructure,6790000,2025-04-18,2025-09-03,2025-08-22,V018945,Completed
P00042210,MP0068,Bihar,BHAGALPUR-1,Sanitation,Drainage improvement,9290000,2025-02-17,2025-06-10,2025-06-01,V034754,Completed
P00042211,MP0083,Gujarat,VADODARA-4,Electricity,Electricity infrastructure,7950000,2025-08-08,2025-11-19,2025-11-13,V012172,Completed
P00042212,MP0029,Rajasthan,JODHPUR-2,Water Supply,Construction of water tank,6800000,2025-04-07,2025-10-05,2025-09-21,V019625,Completed
P00042213,MP0003,Tamil Nadu,CHENNAI-5,Road,Internal road development,5100000,2025-05-26,2026-02-05,2026-01-15,V042722,Completed
P00042214,MP0011,Rajasthan,KOTA-5,Electricity,Electricity infrastructure,6470000,2025-04-10,2025-11-04,,V027966,Ongoing
P00042215,MP0008,Maharashtra,NANDED-4,Education,School infrastructure improvement,4700000,2025-04-28,2025-08-14,2026-02-01,V041838,Completed
P00042216,MP0062,Bihar,GAYA-5,Water Supply,Construction of water tank,7140000,2025-02-14,2025-08-04,2025-07-17,V005850,Completed
P00042217,MP0033,Telangana,NIZAMABAD-5,Public Infrastructure,Public building construction,2790000,2025-06-29,2025-11-18,,V009748,Ongoing
